Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
IR-257_2760,Emerald,0.70,F,I1,GIA,Very Good,Medium,None,61.00,60.00,,Very Good,Good,6.5 x 4.2 x 2.56 mm,1407
BG995-18_13198,Emerald,0.41,G,VVS1,GIA,Excellent,Faint,,62.20,63.00,Medium to Medium,Excellent,Excellent,5.50 x 3.55 x 2.20 mm,1827
43082120_23402,Emerald,0.40,D,VVS2,GIA,Excellent,None,,68.70,62.00,Medium to Slightly Thick,Excellent,Very Good,4.81 x 3.75 x 2.58 mm,1448
24EM_31175,Emerald,0.46,H,VS1,GIA,Excellent,Medium,,66.20,61.00,Thick to Very Thick,Excellent,Excellent,5.00 x 3.71 x 2.46 mm,1639
ECH115_35190,Emerald,0.61,J,VS2,GIA,Excellent,None,,77.30,72.00,Very Thick to Extr. Thick,Good,Good,4.87 x 4.28 x 4.28 mm,1713
2210S-4_21571,Emerald,0.40,D,SI1,GIA,Excellent,Faint,,65.10,64.00,Slightly Thick to Thick,Excellent,Very Good,4.98 x 3.69 x 2.40 mm,929
BG699-2_13198,Emerald,0.34,E,VS1,GIA,Excellent,Faint,,66.30,64.00,Thick to Very Thick,Excellent,Very Good,4.64 x 3.40 x 2.25 mm,1212
SG3026_98109,Emerald,0.40,E,VVS2,GIA,Excellent,None,,64.60,61.00,Medium to Slightly Thick,Very Good,Very Good,5.28 x 3.52 x 2.27 mm,1693
BL97-11_13198,Emerald,0.37,E,VS1,GIA,Excellent,None,,64.00,64.00,Thick to Very Thick,Excellent,Very Good,4.79 x 3.55 x 2.27 mm,1154
SG2854_98109,Emerald,0.32,D,VVS1,GIA,Excellent,Faint,,66.00,62.00,Thick to Very Thick,Excellent,Very Good,4.72 x 3.25 x 2.15 mm,1228
J286-259180_NVD,Emerald,0.42,D,IF,GIA,Good,None,NON,59.50,61.00,MED-THK to MED-THK,Excellent,Very Good,5.82x3.46x2.06 mm,1692
394A-71-A_NVD,Emerald,0.60,D,SI1,GIA,Fair,None,NON,67.00,63.00,THK - VTK to THK - VTK,Excellent,Very Good,5.61x4.01x2.69 mm,1904
29EM_31175,Emerald,0.44,G,VVS2,GIA,Excellent,None,,65.40,66.00,Thick to Very Thick,Excellent,Very Good,4.99 x 3.70 x 2.42 mm,1691
EM1338_31175,Emerald,0.40,G,VS2,GIA,Excellent,Faint,,65.90,60.00,Slightly Thick to Thick,Good,Very Good,5.02 x 3.52 x 2.32 mm,1337
BL97-16_13198,Emerald,0.42,F,VVS1,GIA,Excellent,None,,59.80,61.00,Slightly Thick to Very Thick,Very Good,Very Good,5.09 x 3.76 x 2.25 mm,1769
24792_29708,Emerald,0.50,J,SI1,GIA,Excellent,Faint,None Pointed,63.50,65.00,Thick to Very Thick,Excellent,Very Good,5.48 x 3.79 x 2.41 mm,1208
11EM_31175,Emerald,0.30,G,VVS2,GIA,Excellent,Faint,,65.80,66.00,Slightly Thick to Thick,Excellent,Very Good,4.60 x 3.21 x 2.11 mm,1058
24700_29708,Emerald,0.42,E,VS2,GIA,Excellent,None,None Pointed,69.20,68.00,Slightly Thick to Thick,Very Good,Very Good,4.78 x 3.71 x 2.57 mm,1235
