Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
ND-35_15326,Pear,0.43,G,VS1,GIA,Fair,Faint,None,65.1,59.0,Thick to Extremely Thick,Very Good,Good,6.44 x 4.01 x 2.61 mm,1265
I52-16A_NVD,Pear,0.51,K,VVS1,GIA,Good,None,,59.3,61.0,STK - VTK to STK - VTK,Excellent,Very Good,6.67x4.56x2.71 mm,1415
807482_NVD,Pear,0.23,F,VVS2,GIA,Very Good,None,NON,59.5,60.0,THK - VTK to THK - VTK,Excellent,Very Good,5.4x3.47x2.06 mm,1140
286042_NVD,Pear,0.3,F,SI1,GIA,Good,None,NON,59.1,61.0,Thin to Thick,Very Good,Very Good,5.61x3.86x2.28 mm,1045
C1/3P1109_56465,Pear,0.35,F,SI1,GIA,Excellent,None,,61.7,60.0,Medium to Thick,Very Good,Very Good,6.00 x 4.00 x 2.47 mm,1128
24340_29708,Pear,0.42,I,VVS2,GIA,Excellent,None,Very Small Pointed,57.3,61.0,Thin to Thick,Excellent,Very Good,6.46 x 4.35 x 2.49 mm,1174
221152_74685,Pear,0.6,F,SI2,EGL,Excellent,None,,49.1,62.0,Medium to Medium,Excellent,Excellent,8.47 x 4.89 x 2.40 mm,1454
C1/2P1025_56465,Pear,0.53,F,SI2,GIA,Excellent,None,,62.9,61.0,Medium to Thick,Excellent,Very Good,6.84 x 4.50 x 2.83 mm,2042
I61-48A_NVD,Pear,0.51,K,IF,GIA,Very Good,None,,63.7,58.0,STK - VTK to STK - VTK,Excellent,Very Good,6.56x4.48x2.85 mm,1601
C1/3P1079_56465,Pear,0.31,G,VS1,GIA,Excellent,Faint,,57.2,61.0,Thin to Thick,Excellent,Very Good,6.32 x 3.87 x 2.21 mm,1195
63179_25539,Pear,0.24,F,VVS2,EGL,Excellent,None,,0.6,67.0,,Very Good,Very Good,4.46 x 3.69 x 2.32 mm,880
AA2303100_34292,Pear,0.3,G,VS2,GIA,Excellent,None,,62.8,55.0,Slightly Thick to Very Thick,Very Good,Very Good,5.68 x 3.74 x 2.35 mm,860
9 750_36142,Pear,0.52,E,VS1,GIA,Excellent,None,,71.0,57.0,Very Thin to Very Thick,Good,Good,6.81 x 4.26 x 3.03 mm,2085
GIA 22707_12794,Pear,0.5,E,SI2,GIA,Excellent,Faint,,63.5,60.0,Medium to Very Thick,Excellent,Good,6.69 x 4.39 x 2.79 mm,1838
RG139177_NVD,Pear,0.5,D,VS2,GIA,Fair,Faint,,65.1,61.0,THK - ETK to THK - ETK,Very Good,Very Good,6.46x4.32x2.81 mm,2123
26031_29708,Pear,0.3,F,SI1,GIA,Excellent,None,None Pointed,62.9,60.0,Slightly Thick to Thick,Excellent,Very Good,5.63 x 3.70 x 2.33 mm,780
856820_NVD,Pear,0.24,F,VS1,GIA,Very Good,None,NON,59.4,59.0,THN - VTK to THN - VTK,Excellent,Very Good,5.56x3.58x2.13 mm,1132
b1131_25539,Pear,0.51,F,SI2,EGL,Excellent,None,,62.0,59.0,Medium to Medium,Very Good,Very Good,5.88 x 4.89 x 3.05 mm,1177
A81-22_NVD,Pear,0.4,H,VVS1,GIA,Very Good,None,NON,62.5,58.0,STK-VTK to STK-VTK,Excellent,Very Good,6.28x4.08x2.55 mm,1580
DP2208335_34292,Pear,0.45,G,SI2,GIA,Excellent,None,,58.6,59.0,Medium to Very Thick,Very Good,Very Good,7.27 x 4.25 x 2.49 mm,1156
17400_29708,Pear,0.46,E,VS1,GIA,Excellent,None,None Pointed,58.0,66.0,Medium to Very Thick,Very Good,Very Good,6.63 x 4.53 x 2.63 mm,1697
I76-370A_NVD,Pear,0.41,J,SI1,GIA,Very Good,Faint,,62.6,58.0,THK - ETK to THK - ETK,Excellent,Very Good,6.25x4.1x2.57 mm,889
21765_285,Pear,0.5,E,VS2,GIA,Excellent,Faint,None,62.7,57.0,Medium to Thick,Excellent,Very Good,6.84 x 4.47 x 2.8 mm,2027
PE100_19133,Pear,0.3,I,SI1,GIA,Excellent,Faint,,58.8,61.0,,Good,Very Good,5.70 x 3.85 x 2.26 mm,732
A68-13_NVD,Pear,0.5,G,VS2,GIA,Fair,None,NON,65.0,55.0,THK-ETK to THK-ETK,Excellent,Very Good,6.95x4.31x2.8 mm,2114
